Date,AAPL.csv,ABBV.csv,ABT.csv,AEP.csv,AMGN.csv,AMZN.csv,BA.csv,BAC.csv,BBL.csv,BHP.csv,BP.csv,BRK-A.csv,BUD.csv,C.csv,CAT.csv,CMCSA.csv,CODI.csv,COST.csv,CVX.csv,D.csv,DE.csv,DHR.csv,DIS.csv,DUK.csv,EC.csv,EXC.csv,GD.csv,GE.csv,GMRE.csv,HD.csv,HON.csv,HSBC.csv,IEP.csv,JNJ.csv,JPM.csv,KO.csv,LLY.csv,LMT.csv,MA.csv,MCD.csv,MDT.csv,MMM.csv,MRK.csv,MSFT.csv,NEE.csv,NFLX.csv,NGG.csv,NVS.csv,PEG.csv,PEP.csv,PFE.csv,PG.csv,PM.csv,PTR.csv,RDS-B.csv,REX.csv,RY.csv,SNP.csv,SO.csv,SPLP.csv,SRE.csv,TM.csv,TOT.csv,TXN.csv,UL.csv,UN.csv,UNH.csv,UNP.csv,UTX.csv,V.csv,VZ.csv,WFC.csv,WMT.csv,XEL.csv,XOM.csv
1999/3/4,-0.021937367,,0.030584694,0.013333333,0.033965983,-0.027327935,,-0.014870099,,0.008510568,0.034174837,0.007544582,,0.042117605,0.014550531,0.046533161,,0.03736937,0.016827272,0.011145871,0.005671619,0.035619973,0.01992734,0.019608135,,0.037930869,0.005280181,0.028661662,,0.007269286,0.037091773,,,0.026568496,0.033307771,0.02129821,0.017496437,0.004296896,,0.014064617,0.05484476,0.005012497,0.025498198,0.017543854,0.027381259,,,0.008746355,0.019802326,0.013423225,0.009976923,0.007528897,,,0.043396407,-0.004808075,0.005332797,,0.002524992,,0.027273512,-0.003817054,0.025791212,0.006803136,0.001605084,0.001742021,-0.007443995,0.001332057,0.017232647,,0,0.025338108,0.02288961,0.021225822,0.032350215
1999/3/5,-0.00747647,,0.020645634,0.002923668,0.022222046,0.01144641,,0.039621997,,0.054852553,0.031609425,-0.006126617,,0.023833634,0.040417069,0.019964089,,0.043948362,0.025216779,-0.001574226,0.031954617,0.02420421,0.017761768,0.008547015,,0.039867547,0.001050078,0.031716756,,0.026803991,0.022889851,,,0.023723902,0.041979073,0.015888717,0.031084849,0.018675422,,0.046462785,0.04332698,0.025768891,0.02874885,0.017651623,0.008110933,,,0.023121511,0.01779879,0.05629077,0.027751132,0.021739221,,,0.028932787,0.004831304,0.026525296,,0.002518835,,0.014749143,0.062579834,0.013713995,0.087837881,0.043269141,0.04695634,0.031250076,0.033244098,0.028898626,,0.01258578,0.023064062,0.043356277,0.016166424,0.027649851
1999/3/8,0.035781689,,0.010113845,-0.007288599,0.032136136,0.005658436,,-0.010888697,,-0.012000221,-0.002785856,0.005547945,,0.004048741,-0.005012667,0.016014296,,-0.003450915,-0.003074268,-0.00788632,0,-0.007462345,0.017452187,-0.007415127,,0.00319447,-0.006295914,0.010849661,,0.014056415,0.019580394,,,0.000702671,-0.012230635,0.000977319,-0.00128294,0,,-0.040423653,-0.017441714,-0.0032413,0.002266192,0.026220627,-0.019540489,,,0,0.010266907,-0.020376146,0.021968345,-0.010638499,,,0.01757459,-0.00961615,0.014212291,,-0.007538128,,-0.01162818,0.007211599,0.003382343,0.043477658,-0.023041486,-0.008305221,0.003635915,0.016749881,-0.015980636,,-0.012429347,0,0.002011246,-0.015909229,0.017937153
1999/3/9,-0.007272564,,-0.005006343,-0.020557441,-0.011904692,0.06342711,,0.031192921,,0,0.002793639,-0.005517335,,0.008064484,-0.016372791,-0.008756254,,0.002770334,-0.013878768,-0.011129139,-0.018214806,0.032580811,-0.048027447,-0.034151825,,-0.012739157,0.006335804,0.011329609,,0.016831358,-0.00137163,,,-0.016140907,0.024763115,-0.015624583,-0.018625817,-0.008333158,,-0.038673956,-0.029585702,0.012194943,0.002260494,0.01768834,-0.026963295,,,0.005649839,-0.019417726,-0.015999446,-0.006717685,-0.006720618,,,-0.012089587,-0.043689337,0.001273877,,-0.012657543,,-0.023529387,0.019093286,0.001123814,-0.05654782,0.006289363,-0.011725183,0.01328538,0.032174538,-0.005905039,,-0.001144068,-0.022544103,0.006020179,-0.018475399,-0.014097213
1999/3/10,-0.045788039,,0,-0.013493733,0.04541239,0.055315055,,0.017793656,,0.028340176,0.037604364,0.012328767,,0.023999675,0.003841126,0.037102076,,0.001380996,0.041438803,0.003215588,0.009276316,0.023058287,-0.005405172,0.00773479,,-0.001613004,0,-0.002358078,,0.011684586,-0.009615077,,,-0.001426435,0.011372278,-0.001983798,-0.038612565,0.011764519,,0.005746944,-0.023519274,0.034538432,-0.003759499,-0.002704076,0.001204661,,,0,0.006600559,-0.006395792,0.007213515,-0.002029519,,,0.031468657,0.00507655,0.010177574,,-0.010256593,,-0.012048279,0.011709744,0.046015644,0.029653359,-0.006250055,-0.000847629,-0.002383675,0.007481449,-0.001980674,,-0.008018732,0.026358865,-0.004654171,-0.007059004,0.048257589
1999/3/11,-0.011516702,,0.018867791,-0.006079062,0.058510608,-0.016408387,,0.008741002,,0.019684877,0.030201432,0.0202977,,0.03027323,0.038265521,0.017887787,,-0.001379091,0.021771528,0.004807589,0.005514379,0.023724689,0.005434547,0.037280178,,0.012924011,0.012591883,0.012411497,,0.006737255,0.009708424,,,0.015000096,-0.008432864,0.061065808,0.010892065,0.006644721,,0.022480367,-0.055307394,-0.004658617,0,0.0003877,0.031288231,,,0.02528073,0,0,0.007162261,-0.000677628,,,0.059321826,-0.015150909,-0.013853588,,0.005181858,,0,0.027777167,0.048283364,-0.037377028,0.011006712,0.016115022,0.025089371,0.021039732,0.011408703,,0.01732143,0.014446318,0.018704006,0.011848741,0.01960805
1999/3/12,0.031068584,,-0.016049053,0.019878207,0.005025106,-0.011584801,,0.001732779,,0.011582918,-0.000651546,0.064986737,,0,-0.1216216,-0.048535789,,-0.021408878,-0.004408582,0.009569505,-0.020109138,-0.018540089,0.039639666,0.019028103,,0.019139712,0.022797528,0.00291854,,-0.001911829,0,,,-0.002814989,-0.002126237,0.046139626,0.022221887,0.036303794,,-0.026573604,0.013219874,0.003120429,0.012830464,-0.007743179,0.043173907,,,-0.019177962,0.019671832,0.01149404,-0.001777994,-0.019674251,,,-0.004799544,-0.015385837,-0.0178796,,0.028350075,,0.021341846,-0.006756518,-0.034800506,0.013367495,-0.015552445,-0.035893128,-0.019813522,-0.02303028,0.000490491,,0.002269905,-0.015822778,0.011146937,0.016393484,-0.010869961
1999/3/15,0.026365389,,0.017565794,-0.001499546,0.021666445,0.042194093,,0.020761238,,-0.019083817,-0.013037727,-0.058530511,,0,0.016783125,0.012312978,,0.028934235,-0.00368934,-0.007898779,-0.003731553,-0.018890155,-0.005199295,-0.013485635,,0.006259203,0.022289707,0.025611192,,-0.004789496,0.021977844,,,0.026816921,-0.008523162,-0.010801306,0.017786839,0.023885051,,0.015804679,0.041938429,-0.008553401,0.004470554,0.035505776,0.004474141,,,-0.009776835,-0.012861728,0.009740512,0.003116971,0.015224398,,,-0.008039137,0.005208753,0.005201527,,0.005013025,,0.008955113,0.037415293,-0.021208868,-0.000628299,-0.011058439,0.01298708,0.024970224,0.042183476,0.014705828,,-0.006795005,-0.006430695,0.003891242,0.002304206,-0.00338127
1999/3/16,0.04220181,,0.002466186,0.003002808,-0.027732093,-0.03688709,,-0.018643598,,-0.007782038,0.005284062,-0.043650794,,-0.021800348,-0.031636784,-0.003475187,,-0.016461145,0.011851573,-0.009554429,-0.007490192,-0.004813259,-0.022648141,-0.006308964,,0.015551992,0.010902222,-0.001134951,,-0.014436899,-0.010752783,,,-0.007559968,-0.027936649,0,-0.025890439,0.045100952,,-0.005657504,0.007155493,-0.014118122,0.019287854,0.019215449,-0.003341047,,,-0.029618798,0.001628872,0.025723247,0.008432546,0.002726705,,,-0.001620071,0,-0.018111872,,0.014962251,,0.014792684,-0.003278702,0.011918043,0.04839702,0.012779664,0.012820457,0.002320074,-0.014285622,0.00193243,,0.004561234,-0.030744628,-0.00775153,-0.018390902,-0.007633431
1999/3/17,-0.040492935,,-0.029520584,-0.004490757,0.001677708,-0.021018216,,-0.023316071,,0.003921536,0.038764698,0.059474412,,-0.027131836,0.073863511,-0.043591976,,0.010460678,0.002928092,0,0.101886057,0.030229613,-0.016042527,-0.004232935,,0,-0.021568563,-0.014204751,,-0.013671686,-0.03396728,,,-0.00346283,-0.028740171,-0.027297886,-0.05647807,-0.023808876,,-0.008534945,0.013321475,-0.02784427,-0.021834193,-0.011460136,0.002234709,,,-0.010174603,-0.016260194,0.004702455,-0.012323443,-0.004078875,,,0.030843929,-0.01036166,-0.005269317,,-0.002456947,,-0.008195985,0.030701652,0.018200709,-0.013189645,-0.01104117,-0.009282438,-0.008101895,-0.004830821,0.004821683,,-0.017026506,-0.031719401,0.006001535,0.002341886,0.017093909
